Citation,Authors,Year,Title,Journal/Book/ Publisher,Volume,Pages,Language,Multiple studies,Country,State/Province,Name of site/area,Research project,Lat.,Long.,Plotted lat.,Plotted long.,Altitude (m),Forest type,Dominant tree species,Stand age (years),Measure of age,Stand origin,Type of comparison,No. of true replicates,Intervention category,Intervention (specification),Outcome categories,Focal species,Focal communities,Focal biodiversity indicators,Remarks,Google Scholar search
Soler et al. (2014),"R. Soler, P. Martínez, M. V. Lencinas and M. Rosenfeld",2014,Variable retention management influences biomass of Misodendrum and Usnea in Nothofagus pumilio southern Patagonian forests,New Zealand Journal of Botany,52,224-235,English,,Argentina,Tierra del Fuego,Los Cerros Range,,54.30 S,67.82 W,-54.3,-67.82,,Broadleaf,Nothofagus pumilio,,,,CI,3,PART,Single-tree and group selection harvesting,"TreeAbunt, LichAbuns, VascAbuns","Misodendrum punctulatum (mistletoe), Usnea barbata (lichen)",,,,http://scholar.google.co.uk/scholar?q=Variable+retention+management+influences+biomass+of+Misodendrum+and+Usnea+in+Nothofagus+pumilio+southern+Patagonian+forests&btnG=&hl=en&as_sdt=0%2C5
Lencinas et al. (2009),"M. V. Lencinas, G. Martínez Pastur, E. Gallo and J. M. Cellini",2009,Alternative silvicultural practices with variable retention improve bird conservation in managed South Patagonian forests,Forest Ecology and Management,258,472-480,English,,Argentina,Tierra del Fuego,San Justo Ranch,,54.1 S,68.62 W,-54.1,-68.62,,Broadleaf,Nothofagus pumilio,Old-growth,,,BACI,Not clear,PART,Single-tree and group selection harvesting,"BirdAbuns, BirdAbunt, BirdComp, BirdRich",,Birds,,,http://scholar.google.co.uk/scholar?q=Alternative+silvicultural+practices+with+variable+retention+improve+bird+conservation+in+managed+South+Patagonian+forests&btnG=&hl=en&as_sdt=0%2C5
Lencinas et al. (2011),"M. V. Lencinas, G. Martínez Pastur, E. Gallo and J. M. Cellini",2011,Alternative silvicultural practices with variable retention to improve understory plant diversity conservation in southern Patagonian forests,Forest Ecology and Management,262,1236-1250,English,,Argentina,Tierra del Fuego,San Justo Ranch,,54.1 S,68.62 W,-54.1,-68.62,,Broadleaf,Nothofagus pumilio,Old-growth,,,BACI,Not clear,PART,Single-tree and group selection harvesting,"TreeAbuns, VascRich, VascAbuns, VascAbunt, VascComp, DeadAbunt, InvasRich",,Vascular plants,,,http://scholar.google.co.uk/scholar?q=Alternative+silvicultural+practices+with+variable+retention+to+improve+understory+plant+diversity+conservation+in+southern+Patagonian+forests&btnG=&hl=en&as_sdt=0%2C5
Lencinas et al. (2014),"M. V. Lencinas, G. Martínez Pastur, E. Gallo and J. M. Cellini",2014,Decreasing negative impacts of harvesting over insect communities using variable retention in southern Patagonian forests,Journal of Insect Conservation,18,479-495,English,,Argentina,Tierra del Fuego,San Justo Ranch,,54.1 S,68.62 W,-54.1,-68.62,,Broadleaf,Nothofagus pumilio,Old-growth,,,BACI,Not clear,PART,Single-tree and group selection harvesting,"BeetoRich, BeetoAbunt, InsRich, InsAbunt, InsComp",,Insects,,,http://scholar.google.co.uk/scholar?q=Decreasing+negative+impacts+of+harvesting+over+insect+communities+using+variable+retention+in+southern+Patagonian+forests&btnG=&hl=en&as_sdt=0%2C5
Blackhall et al. (2008),"M. Blackhall, E. Raffaele and T. T. Veblen",2008,"Cattle affect early post-fire regeneration in a Nothofagus dombeyi-Austrocedrus chilensis mixed forest in northern Patagonia, Argentina",Biological Conservation,141,2251-2261,English,,Argentina,,Nahuel Huapi National Park,,40.63 S,71.70 W,-40.63,-71.7,850,Mixed,"Nothofagus dombeyi, Austrocedrus chilensis",3-7 (S),O,Regenerated after wildfire in 1999,CI,4,GRAZ,Exclusion of cattle,"TreeAbuns, TreePerf, VascAbuns, VascAbunt, VascRich, VascPerf",,Tree seedlings and other vascular plants,,,"http://scholar.google.co.uk/scholar?q=Cattle+affect+early+post-fire+regeneration+in+a+Nothofagus+dombeyi-Austrocedrus+chilensis+mixed+forest+in+northern+Patagonia,+Argentina&btnG=&hl=en&as_sdt=0%2C5"
Relva et al. (2010),"M. A. Relva, M. A. Nuñez and D. Simberloff",2010,Introduced deer reduce native plant cover and facilitate invasion of non-native tree species: evidence for invasional meltdown,Biological Invasions,12,303-311,English,,Argentina,,Nahuel Huapi National Park (Isla Victoria),,40.95 S,71.55 W,-40.95,-71.55,< 1025,Coniferous,Austrocedrus chilensis,,,,CI,5,GRAZ,Exclusion of red and fallow deer,"VascAbunt, VascRich, VascComp, TreeAbuns, InvasAbuns, InvasAbunt, InvasRich",,"Trees and other vascular plants, native and nonnative",,,http://scholar.google.co.uk/scholar?q=Introduced+deer+reduce+native+plant+cover+and+facilitate+invasion+of+non-native+tree+species:+evidence+for+invasional+meltdown&btnG=&hl=en&as_sdt=0%2C5
Trappe et al. (2006),"J. M. Trappe, A. O. Nicholls, A. W. Claridge and S. J. Cork",2006,"Prescribed burning in a Eucalyptus woodland suppresses fruiting of hypogeous fungi, an important food source for mammals",Mycological Research,110,1333-1339,English,,Australia,Australian Capital Territory,Canberra Nature Park (Black Mountain Nature Reserve; Aranda Bushland Nature Reserve),,35 S,149 E,-35,149,,Broadleaf (dry sclerophyll woodland),"Eucalyptus rossii, Eucalyptus macrorhyncha",,,,CI,2,BURN,Prescribed burning,"FungAbuns, FungAbunt",,Hypogeous fungi,,,"http://scholar.google.co.uk/scholar?q=Prescribed+burning+in+a+Eucalyptus+woodland+suppresses+fruiting+of+hypogeous+fungi,+an+important+food+source+for+mammals&btnG=&hl=en&as_sdt=0%2C5"
Manning et al. (2013),"A. D. Manning, R. B. Cunningham and D. B. Lindenmayer",2013,Bringing forward the benefits of coarse woody debris in ecosystem recovery under different levels of grazing and vegetation density,Biological Conservation,157,204-214,English,,Australia,Australian Capital Territory,Goorooyarroo and Mulligans Flat Nature Reserves,Mulligans Flat – Goorooyarroo Woodland Experiment,35.19 S,149.18 E,-35.19,149.18,,Broadleaf (grassy woodland),"Eucalyptus melliodora, Eucalyptus blakelyi
",,,,BACI,24 (addition of logs); 2 (grazing); four different stand types involved,"ADD, GRAZ",Addition of eucalypt logs; exclusion of kangaroos,ReptAbunt,,Reptiles,,Site coordinates from Barton et al. (2011),http://scholar.google.co.uk/scholar?q=Bringing+forward+the+benefits+of+coarse+woody+debris+in+ecosystem+recovery+under+different+levels+of+grazing+and+vegetation+density&btnG=&hl=en&as_sdt=0%2C5
Barton et al. (2011),"P. S. Barton, A. D. Manning, H. Gibb, J. T. Wood, D. B. Lindenmayer and S. A. Cunningham",2011,Experimental reduction of native vertebrate grazing and addition of logs benefit beetle diversity at multiple scales,Journal of Applied Ecology,48,943–951,English,,Australia,Australian Capital Territory,Goorooyarroo Nature Reserve,Mulligans Flat – Goorooyarroo Woodland Experiment,35.19 S,149.18 E,-35.19,149.18,,Broadleaf (grassy woodland),"Eucalyptus melliodora, Eucalyptus blakelyi",,,,CI,12 (addition of logs); 2 (grazing),"ADD, GRAZ",Addition of eucalypt logs; exclusion of kangaroos,"BeetgAbunt, BeetgRich",,Beetles,,,http://scholar.google.co.uk/scholar?q=Experimental+reduction+of+native+vertebrate+grazing+and+addition+of+logs+benefit+beetle+diversity+at+multiple+scales&btnG=&hl=en&as_sdt=0%2C5
Clarke and Davison (2004),P. J. Clarke and E. A. Davison,2004,Emergence and survival of herbaceous seedlings in temperate grassy woodlands: Recruitment limitations and regeneration niche,Austral Ecology,29,320-331,English,,Australia,New South Wales,Armidale,,31 S,152 E,-31,152,,Broadleaf (grassy woodland),Eucalyptus spp.,,,,CI,6 (2 at each of 3 sites),"BURN, GRAZ, GREM, LITT","Prescribed burning; exclusion of cattle, sheep, kangaroos and rabbits; mechanical removal of ground herbage and litter. (Seeds of graminoids and forbs sown in all plots.)","VascAbuns, VascPerf","Ammobium alatum, Aristida ramosa, Austrostipa scabra, Austrodanthonia laevis, Austrodanthonia racemosa, Bracteantha bracteata, Carex inversa, Cullen tenax, Lomandra longifolia, Microseris lanceolata, Microlaena stipoides, Mentha satureoides, Vittadinia muelleri (graminoids and forbs)",,,,http://scholar.google.co.uk/scholar?q=Emergence+and+survival+of+herbaceous+seedlings+in+temperate+grassy+woodlands:+Recruitment+limitations+and+regeneration+niche&btnG=&hl=en&as_sdt=0%2C5
